Year-Month,Rainfall (mm),Flood Risk
1970-08,135.5,Safe
1981-06,72.02,Safe
1981-07,574.6,DANGER
1981-08,368.7,DANGER
1981-09,70.6,Safe
1981-10,0.0,Safe
1982-06,62.5,Safe
1982-07,272.4,WARNING
1982-08,77.1,Safe
1982-09,193.6,Safe
1982-10,0.0,Safe
1983-06,43.2,Safe
1983-07,297.9,WARNING
1983-08,341.15999999999997,DANGER
1983-09,137.8,Safe
1983-10,35.8,Safe
1984-06,138.5,Safe
1984-07,303.8,DANGER
1984-08,103.2,Safe
1984-09,358.9,DANGER
1984-10,4.2,Safe
1985-06,21.3,Safe
1985-07,442.9,DANGER
1985-08,225.0,WARNING
1985-09,386.7,DANGER
1985-10,173.2,Safe
1986-06,15.0,Safe
1986-07,294.4,WARNING
1986-08,262.2,WARNING
1986-09,210.4,WARNING
1986-10,55.0,Safe
1991-06,81.60000000000001,Safe
1991-07,185.4,Safe
1991-08,377.3,DANGER
1991-09,53.0,Safe
1991-10,0.0,Safe
1992-06,73.0,Safe
1992-07,175.0,Safe
1992-08,216.0,WARNING
1992-09,88.2,Safe
1992-10,215.8,WARNING
1993-06,109.6,Safe
1993-07,420.20000000000005,DANGER
1993-08,440.8,DANGER
1993-09,129.0,Safe
1993-10,4.2,Safe
1994-06,84.6,Safe
1994-07,135.8,Safe
1994-08,331.8,DANGER
1994-09,477.6,DANGER
1994-10,0.0,Safe
1995-06,147.4,Safe
1995-07,274.7,WARNING
1995-08,245.7,WARNING
1995-09,169.8,Safe
1995-10,2.4,Safe
1996-06,73.2,Safe
1996-07,366.8,DANGER
1996-08,489.5,DANGER
1996-09,61.8,Safe
1996-10,178.2,Safe
1997-06,139.60000000000002,Safe
1997-07,400.4,DANGER
1997-08,223.4,WARNING
1997-09,156.70000000000002,Safe
1997-10,23.4,Safe
1998-06,108.0,Safe
1998-07,384.8,DANGER
1998-08,250.6,WARNING
1998-09,290.0,WARNING
1998-10,78.8,Safe
1999-06,308.6,DANGER
1999-07,431.8,DANGER
1999-08,359.6,DANGER
1999-09,181.6,Safe
1999-10,194.5,Safe
2001-01,3.2,Safe
2001-02,0.0,Safe
2001-03,0.0,Safe
2001-04,23.0,Safe
2001-05,180.0,Safe
2001-06,140.8,Safe
2001-07,152.2,Safe
2001-08,146.6,Safe
2001-09,275.2,WARNING
2001-10,314.4,DANGER
2001-11,0.0,Safe
2001-12,0.0,Safe
2002-01,16.0,Safe
2002-02,8.2,Safe
2002-03,2.0,Safe
2002-04,37.6,Safe
2002-05,110.30000000000001,Safe
2002-06,128.6,Safe
2002-07,640.0,DANGER
2002-08,151.6,Safe
2002-09,228.3,WARNING
2002-10,0.6,Safe
2002-11,0.0,Safe
2002-12,0.0,Safe
2003-01,16.6,Safe
2003-02,35.1,Safe
2003-03,27.9,Safe
2003-04,33.3,Safe
2003-05,56.5,Safe
2003-06,249.79999999999998,WARNING
2003-07,237.4,WARNING
2003-08,336.2,DANGER
2003-09,114.0,Safe
2003-10,109.4,Safe
2003-11,0.0,Safe
2003-12,11.0,Safe
2004-01,54.4,Safe
2004-02,0.0,Safe
2004-03,0.0,Safe
2004-04,118.1,Safe
2004-05,78.8,Safe
2004-06,390.7,DANGER
2004-07,580.1,DANGER
2004-08,212.2,WARNING
2004-09,146.4,Safe
2004-10,10.4,Safe
2004-11,0.0,Safe
2004-12,0.0,Safe
2005-01,17.900000000000002,Safe
2005-02,15.6,Safe
2005-03,0.7999999999999999,Safe
2005-04,24.4,Safe
2005-05,34.400000000000006,Safe
2005-06,51.8,Safe
2005-07,305.5,DANGER
2005-08,554.5,DANGER
2005-09,165.8,Safe
2005-10,24.4,Safe
2005-11,0.0,Safe
2005-12,0.0,Safe
2006-01,0.0,Safe
2006-02,0.0,Safe
2006-03,1.7,Safe
2006-04,33.0,Safe
2006-05,182.0,Safe
2006-06,100.4,Safe
2006-07,266.7,WARNING
2006-08,43.4,Safe
2006-09,294.6,WARNING
2006-10,31.2,Safe
2006-11,0.6,Safe
2006-12,0.0,Safe
2007-01,0.0,Safe
2007-02,18.6,Safe
2007-03,10.0,Safe
2007-04,16.0,Safe
2007-05,103.0,Safe
2007-06,216.4,WARNING
2007-07,544.4,DANGER
2007-08,861.7,DANGER
2007-09,431.7,DANGER
2007-10,32.6,Safe
2007-11,0.0,Safe
2007-12,0.0,Safe
2008-01,6.2,Safe
2008-02,1.6,Safe
2008-03,0.0,Safe
2008-04,42.0,Safe
2008-05,138.2,Safe
2008-06,155.5,Safe
2008-07,402.0,DANGER
2008-08,201.60000000000002,WARNING
2008-09,120.8,Safe
2008-10,66.2,Safe
2008-11,0.0,Safe
2008-12,0.0,Safe
2009-01,0.0,Safe
2009-02,0.0,Safe
2009-03,0.0,Safe
2009-04,2.4,Safe
2009-05,139.60000000000002,Safe
2009-06,80.6,Safe
2009-07,0.0,Safe
2009-08,319.8,DANGER
2009-09,73.8,Safe
2009-10,22.8,Safe
2009-11,2.0,Safe
2009-12,0.0,Safe
2010-01,0.0,Safe
2010-02,1.0,Safe
2010-03,0.0,Safe
2010-04,0.0,Safe
2010-05,216.5,WARNING
2010-06,119.6,Safe
2010-07,570.5,DANGER
2010-08,234.8,WARNING
2010-09,119.8,Safe
2010-10,6.9,Safe
2010-11,0.0,Safe
2010-12,0.0,Safe
2011-01,0.0,Safe
2011-02,16.4,Safe
2011-03,1.2,Safe
2011-04,22.8,Safe
2011-05,280.4,WARNING
2011-06,232.6,WARNING
2011-07,349.2,DANGER
2011-08,149.4,Safe
2011-09,235.0,WARNING
2011-10,5.6,Safe
2011-11,3.4,Safe
2011-12,0.0,Safe
2012-01,3.6,Safe
2012-02,0.0,Safe
2012-03,7.4,Safe
2012-04,29.599999999999998,Safe
2012-05,46.4,Safe
2012-06,96.6,Safe
2012-07,317.4,DANGER
2012-08,158.6,Safe
2012-09,109.0,Safe
2012-10,49.400000000000006,Safe
2012-11,0.0,Safe
2012-12,0.0,Safe
2013-01,34.2,Safe
2013-02,23.6,Safe
2013-03,9.2,Safe
2013-04,60.4,Safe
2013-05,91.4,Safe
2013-06,234.8,WARNING
2013-07,126.6,Safe
2013-08,115.2,Safe
2013-09,208.20000000000002,WARNING
2013-10,260.0,WARNING
2013-11,0.0,Safe
2013-12,0.0,Safe
2014-02,52.0,Safe
2014-03,1.2,Safe
2014-04,1.2,Safe
2014-05,73.80000000000001,Safe
2014-06,267.8,WARNING
2014-07,334.6,DANGER
2014-08,510.2,DANGER
2014-09,167.1,Safe
2014-10,74.0,Safe
2014-11,0.0,Safe
2014-12,0.0,Safe
2015-01,17.6,Safe
2015-02,0.0,Safe
2015-03,37.2,Safe
2015-04,45.0,Safe
2015-05,53.199999999999996,Safe
2015-06,116.2,Safe
2015-07,190.2,Safe
2015-08,247.4,WARNING
2015-09,156.6,Safe
2015-10,3.6,Safe
2015-11,0.0,Safe
2015-12,0.0,Safe
2016-01,2.2,Safe
2016-02,0.0,Safe
2016-03,4.800000000000001,Safe
2016-04,30.8,Safe
2016-05,140.2,Safe
2016-06,234.6,WARNING
2016-07,270.4,WARNING
2016-08,80.4,Safe
2016-09,275.59999999999997,WARNING
2016-10,24.6,Safe
2016-11,0.0,Safe
2016-12,0.0,Safe
2017-01,0.0,Safe
2017-02,0.0,Safe
2017-03,60.4,Safe
2017-04,64.2,Safe
2017-05,100.8,Safe
2017-06,72.6,Safe
2017-07,583.2,DANGER
2017-08,538.8,DANGER
2017-09,194.79999999999998,Safe
2017-10,21.6,Safe
2017-11,0.0,Safe
2017-12,0.0,Safe
2018-01,0.0,Safe
2018-02,0.0,Safe
2018-03,2.4,Safe
2018-04,58.6,Safe
2018-05,70.0,Safe
2018-06,150.79999999999998,Safe
2018-07,499.2,DANGER
2018-08,220.2,WARNING
2018-09,115.1,Safe
2018-10,2.4,Safe
2018-11,0.0,Safe
2018-12,1.4,Safe
2019-01,0.0,Safe
2019-02,495.7,DANGER
2019-03,273.5,WARNING
2019-04,1240.4,DANGER
2019-05,622.8,DANGER
2019-06,1808.5,DANGER
2019-07,2693.3,DANGER
2019-08,1659.3,DANGER
2019-09,2870.3,DANGER
2019-10,655.1,DANGER
2019-11,2418.5,DANGER
2019-12,827.0,DANGER
2020-01,128.6,Safe
2020-02,120.2,Safe
2020-03,263.2,WARNING
2020-04,788.3,DANGER
2020-05,709.8,DANGER
2020-06,3872.44,DANGER
2020-07,8228.0,DANGER
2020-08,2478.0,DANGER
2020-09,1784.0,DANGER
2020-10,12.5,Safe
2020-11,0.0,Safe
2020-12,0.0,Safe
2021-01,1.0,Safe
2021-02,0.0,Safe
2021-03,0.0,Safe
2021-04,132.0,Safe
2021-05,3388.8,DANGER
2021-06,3513.8,DANGER
2021-07,2517.0,DANGER
2021-08,320.1,DANGER
2021-09,84.8,Safe
2021-10,291.9,WARNING
2021-11,0.0,Safe
2021-12,2.4,Safe
2022-01,0.0,Safe
2022-02,26.6,Safe
2022-03,0.0,Safe
2022-04,40.0,Safe
2022-05,19040.5,DANGER
2022-06,35857.2,DANGER
2022-07,84243.0,DANGER
2022-08,91008.0,DANGER
2022-09,73910.1,DANGER
2022-10,66777.3,DANGER
2022-11,62314.0,DANGER
2022-12,72801.0,DANGER
2023-01,26715.5,DANGER
2023-02,261.0,WARNING
2023-03,1958.0,DANGER
2023-04,2015.0,DANGER
2023-05,355.2,DANGER
2023-06,934.4,DANGER
2023-07,586.3,DANGER
2023-08,1755.8,DANGER
2023-09,1716.4,DANGER
2023-10,497.7,DANGER
2023-11,224.0,WARNING
2023-12,855.5,DANGER
2024-01,293.0,WARNING
2024-02,1433.5,DANGER
2024-03,82.1,Safe
2024-04,253.5,WARNING
2024-05,358.8,DANGER
2024-06,88.7,Safe
2024-07,40.6,Safe
2024-08,128.70000000000002,Safe
2024-09,667.0,DANGER
2024-10,117.0,Safe
2024-11,2189.0,DANGER
2024-12,1642.5,DANGER
2025-01,696.0,DANGER
